Data Check 1,Data Check 2 ,Study Phase ,Site ,Tran,Dist ,Rep or Extra,Date(s) of Procedure ,Crucible Number # ,Empty Crucible Weight,Subsample Weight (Filter + Sediment on Filter) ,Post-Burn Weight 
,,M3,S,1,6,a,,,,,
,,M3,S,1,6,b ,,,,,
,,M3,S,1,6,c,,,,,
,,M3,S,1,12,a,,,,,
,,M3,S,1,12,b ,,,,,
,,M3,S,1,12,c,,,,,
,,M3,S,1,24,a ,,,,,
,,M3,S,1,24,b ,,,,,
,,M3,S,1,24,c,,,,,
,,M3,S,1,48,a,,,,,
,,M3,S,1,48,b ,,,,,
,,M3,S,1,48,c,,,,,
,,M3,S,2,0.5,a,,,,,
,,M3,S,2,0.5,b ,,,,,
,,M3,S,2,0.5,c,,,,,
,,M3,S,2,2,a,,,,,
,,M3,S,2,2,b ,,,,,
,,M3,S,2,2,c,,,,,
,,M3,S,2,6,a,,,,,
,,M3,S,2,6,b ,,,,,
,,M3,S,2,6,c,,,,,
,,M3,S,2,12,a,,,,,
,,M3,S,2,12,b ,,,,,
,,M3,S,2,12,c,,,,,
,,M3,S,2,24,a ,,,,,
,,M3,S,2,24,b ,,,,,
,,M3,S,2,24,c,,,,,
,,M3,S,2,48,a,,,,,
,,M3,S,2,48,b ,,,,,
,,M3,S,2,48,c,,,,,
,,M3,S,,,E-1 ,,,,,
,,M3,S,,,E-2 ,,,,,
,,M3,S,,,E-3 ,,,,,
,,M3,S,,,E-4 ,,,,,
,,M4 (starts rubber pads),B,1,0.5,a ,,,,,
,,M4,B,1,0.5,b ,,,,,
,,M4,B,1,0.5,c,,,,,
,,M4,B,1,2,a ,,,,,
,,M4,B,1,2,b ,,,,,
,,M4,B,1,2,c,,,,,
,,M4,B,1,6,a ,,,,,
,,M4,B,1,6,b ,,,,,
,,M4,B,1,6,c,,,,,
,,M4,B,1,12,a ,,,,,
,,M4,B,1,12,b ,,,,,
,,M4,B,1,12,c,,,,,
,,M4,B,1,18,a ,,,,,
,,M4,B,1,18,b ,,,,,
,,M4,B,1,18,c ,,,,,
,,M4,B,1,24,a ,,,,,
,,M4,B,1,24,b ,,,,,
,,M4,B,1,24,c,,,,,
,,M4,B,1,48,a ,,,,,
,,M4,B,1,48,b ,,,,,
,,M4,B,1,48,c,,,,,
,,M4,B,2,0.5,a ,,,,,
,,M4,B,2,0.5,b ,,,,,
,,M4,B,2,0.5,c,,,,,
,,M4,B,2,2,a ,,,,,
,,M4,B,2,2,b ,,,,,
,,M4,B,2,2,c,,,,,
,,M4,B,2,6,a ,,,,,
,,M4,B,2,6,b ,,,,,
,,M4,B,2,6,c,,,,,
