Location,FileName,SurveyDate,Point_ID,Kind,Transect_ID,Type,Station_nom_m,Track,Seq,Northing,Easting,Elevation_ft,Elevation_m,Distance_m,Lat,Lon,CRS
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-16,ep,C4,elevation profile,,,16.0,1736506.329,6416423.37,5.676,1.73004826,12.08,37.9293934,-122.5034923,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-17,ep,C4,elevation profile,,,17.0,1736501.728,6416417.033,5.719,1.743154686,14.46,37.9293806,-122.5035142,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-18,ep,C4,elevation profile,,,18.0,1736495.713,6416408.626,5.769,1.758394717,17.62,37.929364,-122.5035432,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-19,ep,C4,elevation profile,,,19.0,1736490.251,6416397.806,5.751,1.752908306,21.31,37.9293488,-122.5035806,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-20,ep,C4,elevation profile,,,20.0,1736482.42,6416385.621,5.695,1.735839472,25.72,37.9293272,-122.5036227,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-21,ep,C4,elevation profile,,,21.0,1736476.746,6416374.687,5.776,1.760528321,29.48,37.9293114,-122.5036605,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-22,ep,C4,elevation profile,,,22.0,1736469.847,6416363.294,5.908,1.800762002,33.54,37.9292923,-122.5036999,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-23,ep,C4,elevation profile,,,23.0,1736466.306,6416355.756,5.933,1.808382017,36.08,37.9292825,-122.5037259,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-24,ep,C4,elevation profile,,,24.0,1736461.898,6416348.256,5.822,1.774549149,38.73,37.9292702,-122.5037518,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-25,ep,C4,elevation profile,,,25.0,1736457.82,6416337.847,5.621,1.713284227,42.14,37.9292589,-122.5037878,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-26,ep,C4,elevation profile,,,26.0,1736451.698,6416326.077,5.776,1.760528321,46.18,37.9292419,-122.5038285,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-27,ep,C4,elevation profile,,,27.0,1736447.85,6416316.636,5.622,1.713589027,49.29,37.9292312,-122.5038612,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-28,ep,C4,elevation profile,,,28.0,1736446.022,6416307.048,5.619,1.712674625,52.26,37.929226,-122.5038944,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-29,ep,C4,elevation profile,,,29.0,1736444.092,6416297.432,5.626,1.71480823,55.25,37.9292206,-122.5039277,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-30,ep,C4,elevation profile,,,30.0,1736442.208,6416289.253,5.579,1.700482601,57.81,37.9292153,-122.503956,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-31,ep,C4,elevation profile,,,31.0,1736438.817,6416278.143,5.567,1.696824994,61.35,37.9292058,-122.5039944,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-32,ep,C4,elevation profile,,,32.0,1736438.858,6416278.107,5.616,1.711760224,61.37,37.9292059,-122.5039946,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-33,ep,C4,elevation profile,,,33.0,1736435.289,6416267.953,5.496,1.67518415,64.65,37.929196,-122.5040297,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-34,ep,C4,elevation profile,,,34.0,1736435.355,6416267.965,5.558,1.694081788,64.67,37.9291961,-122.5040297,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-35,ep,C4,elevation profile,,,35.0,1736434.519,6416265.21,5.129,1.563322327,65.55,37.9291938,-122.5040392,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-36,ep,C4,elevation profile,,,36.0,1736434.539,6416264.428,5.617,1.712065024,65.78,37.9291938,-122.5040419,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-37,ep,C4,elevation profile,,,37.0,1736434.263,6416261.497,5.631,1.716332233,66.68,37.929193,-122.5040521,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-38,ep,C4,elevation profile,,,38.0,1736432.381,6416254.769,5.636,1.717856236,68.81,37.9291878,-122.5040753,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-39,ep,C4,elevation profile,,,39.0,1736432.497,6416254.713,5.97,1.819659639,68.85,37.9291881,-122.5040755,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-40,ep,C4,elevation profile,,,40.0,1736430.73,6416249.223,5.73,1.746507493,70.61,37.9291832,-122.5040945,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,benchmark-start-1,benchmark,,benchmark start,,,,1766269.921,6418508.996,8.41,2.563373127,,38.0111477,-122.4968266,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,benchmark-start-2,benchmark,,benchmark start,,,,1766269.934,6418509.001,8.439,2.572212344,,38.0111477,-122.4968266,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,benchmark-start-3,benchmark,,benchmark start,,,,1766269.941,6418509.019,8.425,2.567945136,,38.0111477,-122.4968265,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,benchmark-start-4,benchmark,,benchmark start,,,,1766269.911,6418509.011,8.434,2.570688341,,38.0111477,-122.4968265,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,benchmark-start-5,benchmark,,benchmark start,,,,1766269.974,6418509.027,8.442,2.573126746,,38.0111478,-122.4968265,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,benchmark-final-1,benchmark,,benchmark end,,,,1766270.146,6418508.937,8.528,2.599339599,,38.0111483,-122.4968268,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,benchmark-final-2,benchmark,,benchmark end,,,,1766270.191,6418508.948,8.557,2.608178816,,38.0111484,-122.4968268,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,benchmark-final-3,benchmark,,benchmark end,,,,1766270.171,6418508.978,8.573,2.613055626,,38.0111484,-122.4968267,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,benchmark-final-4,benchmark,,benchmark end,,,,1766270.14,6418508.969,8.554,2.607264415,,38.0111483,-122.4968267,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,benchmark-final-5,benchmark,,benchmark end,,,,1766270.137,6418508.953,8.522,2.597510795,,38.0111483,-122.4968268,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-1,ep,B1,elevation profile,,,1.0,1768032.806,6416899.985,3.434,1.046685293,-8.07,38.0159638,-122.5024444,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-2,ep,B1,elevation profile,,,2.0,1768030.951,6416900.34,3.486,1.062534925,-7.49,38.0159588,-122.5024431,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-3,ep,B1,elevation profile,,,3.0,1768029.208,6416900.403,3.619,1.103073406,-6.96,38.015954,-122.5024428,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-4,ep,B1,elevation profile,,,4.0,1768026.807,6416900.601,3.747,1.142087884,-6.23,38.0159474,-122.5024421,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-5,ep,B1,elevation profile,,,5.0,1768026.292,6416900.793,3.784,1.153365507,-6.06,38.015946,-122.5024414,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-6,ep,B1,elevation profile,,,6.0,1768025.921,6416900.725,3.994,1.217373635,-5.95,38.015945,-122.5024417,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-7,ep,B1,elevation profile,,,7.0,1768023.324,6416900.799,4.386,1.336855474,-5.15,38.0159378,-122.5024414,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-8,ep,B1,elevation profile,,,8.0,1768019.716,6416901.041,4.679,1.426162052,-4.05,38.0159279,-122.5024404,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-9,ep,B1,elevation profile,,,9.0,1768015.97,6416900.891,4.871,1.484683769,-2.91,38.0159176,-122.5024409,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-10,ep,B1,elevation profile,,,10.0,1768012.628,6416901.102,4.994,1.522174244,-1.89,38.0159085,-122.5024401,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-11,ep,B1,elevation profile,,,11.0,1768009.708,6416901.017,5.055,1.540767082,-1.0,38.0159004,-122.5024403,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-12,ep,B1,elevation profile,,,12.0,1768008.326,6416901.392,5.11,1.557531115,-0.56,38.0158966,-122.502439,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-13pin,ep,B1,elevation profile,,,13.0,1768006.568,6416901.95,5.291,1.612700025,0.0,38.0158918,-122.502437,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-14,ep,B1,elevation profile,,,14.0,1768004.524,6416902.091,5.442,1.658724917,0.62,38.0158862,-122.5024365,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-15,ep,B1,elevation profile,,,15.0,1768003.23,6416902.114,5.8,1.767843536,1.02,38.0158827,-122.5024364,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-16,ep,B1,elevation profile,,,16.0,1768001.713,6416901.938,5.845,1.781559563,1.48,38.0158785,-122.502437,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-17,ep,B1,elevation profile,,,17.0,1767999.946,6416901.496,6.022,1.835509271,2.04,38.0158736,-122.5024385,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-18,ep,B1,elevation profile,,,18.0,1767996.742,6416901.821,6.078,1.852578105,3.02,38.0158648,-122.5024373,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-19,ep,B1,elevation profile,,,19.0,1767993.544,6416902.259,6.133,1.869342139,4.01,38.0158561,-122.5024357,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-20,ep,B1,elevation profile,,,20.0,1767990.617,6416901.656,6.099,1.858978918,4.92,38.015848,-122.5024378,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-21,ep,B1,elevation profile,,,21.0,1767985.393,6416901.478,6.114,1.863550927,6.51,38.0158337,-122.5024383,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-22,ep,B1,elevation profile,,,22.0,1767980.639,6416901.802,6.096,1.858064516,7.96,38.0158206,-122.5024371,CA zone II (EPSG:2226)
Gallinas Creek,gallinas-creek-06172025-final.csv,2025-06-17,b-1-ep-23,ep,B1,elevation profile,,,23.0,1767974.968,6416903.237,6.184,1.88488697,9.74,38.0158051,-122.502432,CA zone II (EPSG:2226)
